config_id,instance,seed,budget,cost,time,status,starttime,endtime,config:batch_size,config:budget_type,config:cv_count,config:dataset,config:datasetpath,config:device,config:dropout_rate,config:global_avg_pooling,config:kernel_size,config:learning_rate_init,config:n_channels_conv_0,config:n_channels_fc_0,config:n_conv_layers,config:n_fc_layers,config:use_BN,config:n_channels_conv_1,config:n_channels_conv_2,scenario_seed,config:n_channels_fc_1,config:n_channels_fc_2
26,,1845187042,20.0,0.4827155391346261,3758.565176963806,StatusType.SUCCESS,1686142046.5684729,1686145805.135631,93,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0010992971136805,265,57,1,3,True,,,12345,32.0,62.0
4,,1842529055,20.0,0.476606955017114,2001.4571115970607,StatusType.SUCCESS,1686130230.8275073,1686132232.2911007,111,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.001498554379361,58,47,3,2,True,129.0,74.0,12346,62.0,
18,,1592017343,20.0,0.4760516157882438,4391.322978973389,StatusType.SUCCESS,1686131270.209993,1686135661.774567,60,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.0002123370665574,89,107,2,1,False,498.0,,12348,,
30,,1506059195,20.0,0.4742468365315644,12042.262946605682,StatusType.SUCCESS,1686140130.3029027,1686152172.5686457,103,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0004535020375528,350,32,2,3,True,473.0,,12349,18.0,30.0
28,,1592017343,20.0,0.4710537389708975,1991.4278354644773,StatusType.SUCCESS,1686140572.660643,1686142564.1159897,100,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0006469545885799,122,54,1,1,True,,,12348,,
15,,1506059195,20.0,0.4688324345932327,4588.985905885696,StatusType.SUCCESS,1686134332.583383,1686138921.5713916,58,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.0009645188324412,78,110,2,2,True,455.0,,12349,32.0,
17,,1845187042,20.0,0.4666111121295757,3426.4908108711243,StatusType.SUCCESS,1686136649.4176168,1686140075.910597,95,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0003858374944071,99,112,2,2,True,230.0,,12345,57.0,
35,,1845187042,20.0,0.465778134919431,2831.1706802845,StatusType.SUCCESS,1686148501.5299554,1686151332.7031138,48,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,1.3387044001033596e-05,62,110,2,2,True,243.0,,12345,38.0,
24,,1842529055,20.0,0.4650839955249743,5738.75990319252,StatusType.SUCCESS,1686138423.0610368,1686144161.82678,116,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0008436649523856,184,94,2,2,True,340.0,,12346,53.0,
30,,1842529055,20.0,0.4613355598060121,3783.355612039566,StatusType.SUCCESS,1686134853.3680947,1686138636.965247,73,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,6.98584962295241e-05,52,52,2,1,True,507.0,,12346,,
40,,1506059195,20.0,0.4610578812189182,14649.394149541857,StatusType.SUCCESS,1686146107.3047948,1686160756.7008932,17,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0056835137139961,483,116,2,1,False,489.0,,12349,,
36,,1506059195,20.0,0.4523115258265142,3903.159266233444,StatusType.SUCCESS,1686150550.803729,1686154453.9651835,17,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0008496878534635,80,95,2,2,False,512.0,,12349,64.0,
29,,1845187042,20.0,0.4523115126418932,13885.4792034626,StatusType.SUCCESS,1686138060.7099848,1686151946.2103658,125,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0009220224067978,512,119,3,1,False,387.0,233.0,12345,,
3,,872516536,20.0,0.4513397396446582,8195.614813804626,StatusType.SUCCESS,1686135116.133851,1686143311.7506964,82,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0002671646625927,418,63,3,3,True,134.0,18.0,12347,62.0,58.0
38,,1845187042,20.0,0.4484242367116375,6864.96483373642,StatusType.SUCCESS,1686145805.1860497,1686152670.1551638,60,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0010319741237534,129,47,3,3,True,499.0,123.0,12345,59.0,39.0
21,,1592017343,20.0,0.4482854213294066,5730.023108005524,StatusType.SUCCESS,1686143222.1843407,1686148952.2096684,91,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.0004940299102373,127,107,2,1,True,512.0,,12348,,
16,,1842529055,20.0,0.4475912708464835,3719.952569484711,StatusType.SUCCESS,1686130292.7489738,1686134012.703364,75,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,5.050491803019508e-05,58,98,2,2,True,512.0,,12346,54.0,
40,,1842529055,20.0,0.4425933482178413,8734.213671684265,StatusType.SUCCESS,1686139755.6584132,1686148489.873906,51,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,1.6627350371825135e-05,263,126,3,2,True,388.0,82.0,12346,26.0,
31,,1842529055,20.0,0.4387061128401348,5798.478214263916,StatusType.SUCCESS,1686144318.7571192,1686150117.236804,110,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,6.346675695456219e-05,141,62,2,1,True,512.0,,12346,,
20,,1506059195,20.0,0.4367624583297118,3991.995803594589,StatusType.SUCCESS,1686131814.081747,1686135806.0850332,19,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0011855249070582,63,99,2,1,True,486.0,,12349,,
26,,1842529055,20.0,0.4328751820260479,9028.030344963074,StatusType.SUCCESS,1686138636.999118,1686147665.0358324,53,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0004721910681692,352,48,2,2,True,310.0,,12346,44.0,
1,,1506059195,20.0,0.429682062061662,8733.723500013351,StatusType.SUCCESS,1686134906.0366728,1686143639.762216,111,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0012026329154835,396,58,2,1,True,168.0,,12349,,
